Venue,Category,Area,Listing URL (their free page),Their website,Phone,Emailed? (Y/N),Replied? (Y/N),Linked back? (Y/N),Notes / corrections
Adventure Divers Pattaya,Watersports / Diving,Central Pattaya — boat operates from Bali Hai Pier,https://pattaya-gym.com/gyms/adventure-divers-pattaya/,https://pattayadivers.com/,,,,,
AF Academy Football School Pattaya,Kids / Youth Sports,South Pattaya (outdoor field) + Central Pattaya (indoor field),https://pattaya-gym.com/gyms/af-academy-pattaya/,https://www.afacademy.pro/en,,,,,
AF Academy Football School Pattaya Pattaya,Kids / Youth Sports,Naklua + Jomtien + Pratumnak + Central Pattaya (multiple training locations),https://pattaya-gym.com/gyms/af-academy-pattaya/,https://www.afacademy.pro/en,+66 96 078 8308,,,,
Andaz Pattaya Jomtien Beach (Hyatt),Fitness / Gym,Na Jomtien / Sattahip,https://pattaya-gym.com/gyms/andaz-pattaya-jomtien/,https://www.hyatt.com/andaz/utpaz-hyatt-andaz-pattaya-jomtien-beach/,,,,,
Anytime Fitness Pattaya,Fitness / Gym,"Multiple (South Pattaya / Bukis Point + ""Again"" Pattaya)",https://pattaya-gym.com/gyms/anytime-fitness-pattaya/,https://www.anytimefitness.co.th/,+66 64 589 1174,,,,
Ashtanga Yoga Pattaya,Yoga / Pilates,Pattaya — Soi 12 Thepprasit / Jomtien,https://pattaya-gym.com/gyms/ashtanga-yoga-pattaya/,https://ashtangayogapattaya.weebly.com/,,,,,
ATV & Off-Road Tours Pattaya (Multi-Operator),Adventure / Multi-Sport,30 min east of Pattaya — Pong Village near Lake Mabprachan + various,https://pattaya-gym.com/gyms/atv-tours-pattaya/,https://www.atvtourspattaya.com/,,,,,
Balance Yoga Studio Pattaya,Yoga / Pilates,Near sea — Pattaya / Jomtien beach-adjacent,https://pattaya-gym.com/gyms/balance-yoga-studio-pattaya/,https://balancepattaya.com/,,,,,
Bangkok Hospital Pattaya — Sports Rehabilitation & Wellness,Running / Cycling Clubs,North Pattaya,https://pattaya-gym.com/gyms/bangkok-hospital-pattaya-rehab/,https://www.bangkokpattayahospital.com/,+66 38 259 999,,,,
Battle Conquer Gym Pattaya,Muay Thai,Central Pattaya / near Pattaya Beach,https://pattaya-gym.com/gyms/battle-conquer-gym/,https://battleconquerpattaya.com/,+66 98 085 3053,,,,
Bean Cow Climbing Gym & Community Center,Climbing,Huay Yai / East Pattaya,https://pattaya-gym.com/gyms/bean-cow-climbing-gym/,https://www.beancowclimbing.com/,,,,,
Bira Circuit (FIA-Standard Motor Racing Track),Adventure / Multi-Sport,Banglamung — 15 km northeast of Pattaya,https://pattaya-gym.com/gyms/bira-circuit/,https://bira.co.th/,,,,,
BOUNCE Pattaya — Trampoline Park,Kids / Youth Sports,Harbor Pattaya Mall — 6F / Central Pattaya,https://pattaya-gym.com/gyms/bounce-pattaya/,https://bounceinc.co.th/,,,,,
Burapha Golf Club,Golf,Sriracha (35 min from Pattaya),https://pattaya-gym.com/gyms/burapha-golf-club/,https://www.facebook.com/p/Burapha-Golf-Resort-Thailand-1000,+66 38 372 700,,,,
Cape Dara Resort,Fitness / Gym,Naklua / North Pattaya — beach-cliff position,https://pattaya-gym.com/gyms/cape-dara-resort/,https://capedarapattaya.com/,,,,,
Cartoon Network Amazone Waterpark (now Columbia Pictures Aquaverse),Swimming,Na Jomtien / Sattahip — 15 km south of Pattaya,https://pattaya-gym.com/gyms/cartoon-network-amazone/,https://www.aquaverse.co.th/,,,,,
Castra Gym,Fitness / Gym,"Khao Talo / East Pattaya (""Darkside"")",https://pattaya-gym.com/gyms/castra-gym/,https://castragym.com/,,,,,
Centara Grand Mirage Beach Resort,Swimming,Wong Amat Beach / North Pattaya,https://pattaya-gym.com/gyms/centara-grand-mirage/,https://www.centarahotelsresorts.com/centaragrand/cmbr,,,,,
Chatrium Golf Resort Soi Dao Chanthaburi,Golf,"Khao Soi Dao Mountains, Chanthaburi (3 hours from Pattaya)",https://pattaya-gym.com/gyms/chatrium-golf-soi-dao/,https://www.chatrium.com/golfsoidaochanthaburi,,,,,
Chee Chan Golf Resort,Golf,Na Jomtien / Sattahip,https://pattaya-gym.com/gyms/chee-chan-golf/,https://cheechangolf.com/,,,,,
Clubloongchat Watersports,Watersports / Diving,Na Jomtien Beach,https://pattaya-gym.com/gyms/clubloongchat-watersports/,https://www.clubloongchat.com/,,,,,
Cross Pattaya Pratamnak (Cloud Club + PLAYROOM),Fitness / Gym,Pratamnak Hill,https://pattaya-gym.com/gyms/cross-pattaya-pratamnak/,https://www.crosspattayapratamnak.com/,,,,,
