venue_id,venue_name,category,area,listing_url,website,phone,badge_url,email_template
"adventure-divers-pattaya","Adventure Divers Pattaya","watersports","Central Pattaya — boat operates from Bali Hai Pier","https://pattaya-gym.com/gyms/adventure-divers-pattaya/","https://pattayadivers.com/","","https://pattaya-gym.com/badge-listed.svg","Subject: Your venue on Pattaya.Gym — Adventure Divers Pattaya

Hi Adventure Divers Pattaya team,

We run https://pattaya-gym.com — independent directory of 158 Pattaya sport venues. Your free listing: https://pattaya-gym.com/gyms/adventure-divers-pattaya/

If you'd like to show visitors you're listed, link to your page or use our badge: https://pattaya-gym.com/badge-listed.svg

Reply with any corrections to hours or prices.

Tim — Pattaya.Gym"
"af-academy-pattaya","AF Academy Football School Pattaya","kids-youth","Naklua + Jomtien + Pratumnak + Central Pattaya (multiple training locations)","https://pattaya-gym.com/gyms/af-academy-pattaya/","https://www.afacademy.pro/en","+66 96 078 8308","https://pattaya-gym.com/badge-listed.svg","Subject: Your venue on Pattaya.Gym — AF Academy Football School Pattaya

Hi AF Academy Football School Pattaya team,

We run https://pattaya-gym.com — independent directory of 158 Pattaya sport venues. Your free listing: https://pattaya-gym.com/gyms/af-academy-pattaya/

If you'd like to show visitors you're listed, link to your page or use our badge: https://pattaya-gym.com/badge-listed.svg

Reply with any corrections to hours or prices.

Tim — Pattaya.Gym"
"andaz-pattaya-jomtien","Andaz Pattaya Jomtien Beach (Hyatt)","fitness","Na Jomtien / Sattahip","https://pattaya-gym.com/gyms/andaz-pattaya-jomtien/","https://www.hyatt.com/andaz/utpaz-hyatt-andaz-pattaya-jomtien-beach/","","https://pattaya-gym.com/badge-listed.svg","Subject: Your venue on Pattaya.Gym — Andaz Pattaya Jomtien Beach (Hyatt)

Hi Andaz Pattaya Jomtien Beach (Hyatt) team,

We run https://pattaya-gym.com — independent directory of 158 Pattaya sport venues. Your free listing: https://pattaya-gym.com/gyms/andaz-pattaya-jomtien/

If you'd like to show visitors you're listed, link to your page or use our badge: https://pattaya-gym.com/badge-listed.svg

Reply with any corrections to hours or prices.

Tim — Pattaya.Gym"
"anytime-fitness-pattaya","Anytime Fitness Pattaya","fitness","Multiple (South Pattaya / Bukis Point + ""Again"" Pattaya)","https://pattaya-gym.com/gyms/anytime-fitness-pattaya/","https://www.anytimefitness.co.th/","+66 64 589 1174","https://pattaya-gym.com/badge-listed.svg","Subject: Your venue on Pattaya.Gym — Anytime Fitness Pattaya

Hi Anytime Fitness Pattaya team,

We run https://pattaya-gym.com — independent directory of 158 Pattaya sport venues. Your free listing: https://pattaya-gym.com/gyms/anytime-fitness-pattaya/

If you'd like to show visitors you're listed, link to your page or use our badge: https://pattaya-gym.com/badge-listed.svg

Reply with any corrections to hours or prices.

Tim — Pattaya.Gym"
"ashtanga-yoga-pattaya","Ashtanga Yoga Pattaya","yoga","Pattaya — Soi 12 Thepprasit / Jomtien","https://pattaya-gym.com/gyms/ashtanga-yoga-pattaya/","https://ashtangayogapattaya.weebly.com/","","https://pattaya-gym.com/badge-listed.svg","Subject: Your venue on Pattaya.Gym — Ashtanga Yoga Pattaya

Hi Ashtanga Yoga Pattaya team,

We run https://pattaya-gym.com — independent directory of 158 Pattaya sport venues. Your free listing: https://pattaya-gym.com/gyms/ashtanga-yoga-pattaya/

If you'd like to show visitors you're listed, link to your page or use our badge: https://pattaya-gym.com/badge-listed.svg

Reply with any corrections to hours or prices.

Tim — Pattaya.Gym"
"atv-tours-pattaya","ATV & Off-Road Tours Pattaya (Multi-Operator)","adventure","30 min east of Pattaya — Pong Village near Lake Mabprachan + various","https://pattaya-gym.com/gyms/atv-tours-pattaya/","https://www.atvtourspattaya.com/","","https://pattaya-gym.com/badge-listed.svg","Subject: Your venue on Pattaya.Gym — ATV & Off-Road Tours Pattaya (Multi-Operator)

Hi ATV & Off-Road Tours Pattaya (Multi-Operator) team,

We run https://pattaya-gym.com — independent directory of 158 Pattaya sport venues. Your free listing: https://pattaya-gym.com/gyms/atv-tours-pattaya/

If you'd like to show visitors you're listed, link to your page or use our badge: https://pattaya-gym.com/badge-listed.svg

Reply with any corrections to hours or prices.

Tim — Pattaya.Gym"
"balance-yoga-studio-pattaya","Balance Yoga Studio Pattaya","yoga","Near sea — Pattaya / Jomtien beach-adjacent","https://pattaya-gym.com/gyms/balance-yoga-studio-pattaya/","https://balancepattaya.com/","","https://pattaya-gym.com/badge-listed.svg","Subject: Your venue on Pattaya.Gym — Balance Yoga Studio Pattaya

Hi Balance Yoga Studio Pattaya team,

We run https://pattaya-gym.com — independent directory of 158 Pattaya sport venues. Your free listing: https://pattaya-gym.com/gyms/balance-yoga-studio-pattaya/

If you'd like to show visitors you're listed, link to your page or use our badge: https://pattaya-gym.com/badge-listed.svg

Reply with any corrections to hours or prices.

Tim — Pattaya.Gym"
"bangkok-hospital-pattaya-rehab","Bangkok Hospital Pattaya — Sports Rehabilitation & Wellness","clubs","North Pattaya","https://pattaya-gym.com/gyms/bangkok-hospital-pattaya-rehab/","https://www.bangkokpattayahospital.com/","+66 38 259 999","https://pattaya-gym.com/badge-listed.svg","Subject: Your venue on Pattaya.Gym — Bangkok Hospital Pattaya — Sports Rehabilitation & Wellness

Hi Bangkok Hospital Pattaya — Sports Rehabilitation & Wellness team,

We run https://pattaya-gym.com — independent directory of 158 Pattaya sport venues. Your free listing: https://pattaya-gym.com/gyms/bangkok-hospital-pattaya-rehab/

If you'd like to show visitors you're listed, link to your page or use our badge: https://pattaya-gym.com/badge-listed.svg

Reply with any corrections to hours or prices.

Tim — Pattaya.Gym"
"battle-conquer-gym","Battle Conquer Gym Pattaya","muay-thai","Central Pattaya / near Pattaya Beach","https://pattaya-gym.com/gyms/battle-conquer-gym/","https://battleconquerpattaya.com/","+66 98 085 3053","https://pattaya-gym.com/badge-listed.svg","Subject: Your venue on Pattaya.Gym — Battle Conquer Gym Pattaya

Hi Battle Conquer Gym Pattaya team,

We run https://pattaya-gym.com — independent directory of 158 Pattaya sport venues. Your free listing: https://pattaya-gym.com/gyms/battle-conquer-gym/

If you'd like to show visitors you're listed, link to your page or use our badge: https://pattaya-gym.com/badge-listed.svg

Reply with any corrections to hours or prices.

Tim — Pattaya.Gym"
"bean-cow-climbing-gym","Bean Cow Climbing Gym & Community Center","climbing","Huay Yai / East Pattaya","https://pattaya-gym.com/gyms/bean-cow-climbing-gym/","https://www.beancowclimbing.com/","","https://pattaya-gym.com/badge-listed.svg","Subject: Your venue on Pattaya.Gym — Bean Cow Climbing Gym & Community Center

Hi Bean Cow Climbing Gym & Community Center team,

We run https://pattaya-gym.com — independent directory of 158 Pattaya sport venues. Your free listing: https://pattaya-gym.com/gyms/bean-cow-climbing-gym/

If you'd like to show visitors you're listed, link to your page or use our badge: https://pattaya-gym.com/badge-listed.svg

Reply with any corrections to hours or prices.

Tim — Pattaya.Gym"
